Serial Number,Category,Site No,CSN View,ASR Name,ASR EMail,SAM Name,Modem,Site Name,City,State,Installed,Install Status,Contract Line Start,Contract Line End,Entitlement Status,Last Connect Home Date,Model,TLA Part Number,District,Country,SYR Derived Code,SYR Derived Source,Install Base Code,Target Microcode,CE Email,Theater,Division,Region
1328F3CB,Avamar,15598359,15598454,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,CALGARY,,5/10/2012 10:59,Install,,,,,456-100-309,900-580-003,58230 AM CS District,Canada,,InstallBase,,,joe.ce@emc.com,Americas CS Theater,Northeast/Canada CS Division,51000 CS Region
1329F3CB,Avamar,15598359,15598454,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,CALGARY,,10/24/2012 19:12,Install,,,,,456-100-309,900-580-003,58230 AM CS District,Canada,,InstallBase,,,joe.ce@emc.com,Americas CS Theater,Northeast/Canada CS Division,51000 CS Region
14800686,Avamar,15598359,15598454,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,CALGARY,,11/25/2014 9:21,Install,,,,,456-100-309,900-580-003,58230 AM CS District,Canada,7.1.0-370 SLES,InstallBase,7.1.0-370 SLES,,joe.ce@emc.com,Americas CS Theater,Northeast/Canada CS Division,51000 CS Region
FL400003,Data Domain,15598359,15598454,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,CALGARY,,6/11/2014 0:00,Install,12/23/2014,12/22/2017,Entitled,,DD2500-36TB-B,P-DD2500-36TB,58230 AM CS District,Canada,5.2.6.0,InstallBase,5.2.6.0,,joe.ce@emc.com,Americas CS Theater,Northeast/Canada CS Division,51000 CS Region
NN210263,Avamar,15598359,15598454,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,CALGARY,,8/26/2011 0:00,Install,11/24/2011,5/2/2013,Not Entitled,,AVM1NSTG7FG4,100-580-617,58230 AM CS District,Canada,6.0.0-592,InstallBase,6.0.0-592,,joe.ce@emc.com,Americas CS Theater,Northeast/Canada CS Division,51000 CS Region
FL200031,Data Domain,29430812,29430907,JOE CE,,,,CUSTOMER TWO,STORD,,5/28/2014 11:20,Install,,,,,DD2500-36TB,P-DD2500-36TB,30310 AM CS District,Norway,5.2.6.0,InstallBase,5.2.6.0,,,EMEA CS Theater,30000 CS Region,Nordics CS Area
13600561,Avamar,15598370,15598465,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,TORONTO,,10/24/2012 19:15,Install,,,,,456-100-309,900-580-003,58220 AM CS District,Canada,,InstallBase,,,joe.ce@emc.com,Americas CS Theater,Northeast/Canada CS Division,51000 CS Region
14A115F4,Avamar,15598370,15598465,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,TORONTO,,11/29/2014 9:27,Install,,,,,456-100-309,900-580-003,58220 AM CS District,Canada,7.1.0-370 SLES,InstallBase,7.1.0-370 SLES,,joe.ce@emc.com,Americas CS Theater,Northeast/Canada CS Division,51000 CS Region
FL300285,Data Domain,15598370,15598465,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,TORONTO,,6/9/2014 0:00,Install,12/23/2014,12/22/2017,Entitled,,DD2500-36TB-B,P-DD2500-36TB,58220 AM CS District,Canada,5.2.6.0,InstallBase,5.2.6.0,,joe.ce@emc.com,Americas CS Theater,Northeast/Canada CS Division,51000 CS Region
NN210271,Avamar,15598370,15598465,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,TORONTO,,11/8/2012 17:00,Install,11/24/2011,5/2/2013,Not Entitled,,AVM1NSTG7FG4,100-580-617,58220 AM CS District,Canada,6.0.1.65,InstallBase,6.0.1.65,,joe.ce@emc.com,Americas CS Theater,Northeast/Canada CS Division,51000 CS Region
AP601705,CLARiiON,14283782,14283877,,,,,CUSTOMER TWO,CALERA,AL,9/4/2014 0:00,Install,2/1/2014,4/1/2015,Entitled,,CX4-120C,900-566-008,53511 AM CS District,United States,04.30.000.5.526,InstallBase,04.30.000.5.526,,,Americas CS Theater,Mid-Atlantic CS Division,68000 CS Region
9F339854,Data Domain,4396672,4396767,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,CALERA,AL,1/11/2010 0:00,Install,7/1/2014,6/30/2015,Entitled,,DD610-3500G,P-DD610-3500G,53511 AM CS District,United States,5.2.6.0,InstallBase,5.2.6.0,,joe.ce@emc.com,Americas CS Theater,Mid-Atlantic CS Division,68000 CS Region
0F524770,Data Domain,12218283,12218378,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,GENEVA,AL,9/3/2014 11:12,Install,7/1/2014,6/30/2015,Entitled,,DD610-3500G,P-X-1406-CHAS1,53511 AM CS District,United States,5.2.6.0,InstallBase,5.2.6.0,,joe.ce@emc.com,Americas CS Theater,Mid-Atlantic CS Division,68000 CS Region
